Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB SP Comete,Bra,Bra,27.0,3672.0,0.0,0.0,1471.5,13.6,59.78,2186.9,3658.4,N/A,,,35a335fc-3940-40eb-9700-70ebaaf5172e
LBB EL Kintai Fash,Set,Bra and Panty,12.0,897.0,0.0,0.0,351.45,0.0,60.82,545.55,897.0,N/A,,,56c5db73-c479-4eaa-a186-4361f4147cf1
LBB EL Matilda Plum,Bra and Panty Set,SET,9.0,695.0,0.0,0.0,274.05,0.0,60.57,420.95,695.0,N/A,,,88c543d3-784d-4c5c-9a04-2f12d7490fd3
LBB SP Subtile ,Bra,Moulded,9.0,819.0,0.0,0.0,324.0,0.0,60.44,495.0,819.0,N/A,,,34b2aea8-f209-4e4d-9bdd-e32d6950a65a
LBB CK Stardust,Bra and Panty Set,SET,8.0,648.0,0.0,0.0,256.0,0.0,60.49,392.0,648.0,N/A,,,64323d38-76d9-4392-a866-b6d5e8c32caa
LBB SP Andora Bra,Bra,moulded,8.0,1008.0,0.0,0.0,400.0,0.0,60.32,608.0,1008.0,N/A,,,f491dbe3-525e-4b57-a580-a95e872779b9
LBB EL Nerina PL,general,general,7.0,574.0,0.0,0.0,226.8,0.0,60.49,347.2,574.0,N/A,,,00a466c8-90a7-46f5-99f6-1272158fefdb
LBB EL Nerina Fash,Bra and Panty Set,SET,7.0,527.0,0.0,0.0,207.9,16.4,59.28,302.7,510.6,N/A,,,f6ede82d-e423-4346-9f7a-5ffaabcd4c55
LBB CK Victory Bra,Bra,Balcony,7.0,539.0,0.0,0.0,212.25,0.0,60.62,326.75,539.0,N/A,,,dc9c3538-5f79-4e7b-874b-58e46d1df81e
LBB CH Norah Chic,Bra,general,6.0,732.0,0.0,0.0,222.33,0.0,69.63,509.67,732.0,N/A,,,ac1ebd3b-6224-48c7-acac-bf5e14b497ec
LBB BDL Syra,Lingerie,Set,6.0,1518.0,0.0,0.0,503.7,0.0,66.82,1014.3,1518.0,N/A,,,0a2427f0-1432-4794-b612-9338ec8ad91f
LBB FR Sonic Sports Bra,Sports Bra,general,6.0,503.0,0.0,0.0,199.8,0.0,60.28,303.2,503.0,N/A,,,d0fc7fa4-eea0-4724-81e1-e8321c6dcd66
LBB EL Smoothie,Bra,Moulded ,6.0,456.0,0.0,0.0,175.5,0.0,61.51,280.5,456.0,N/A,,,4eeb6ff7-1594-4b49-b21f-a45b333b1a8a
LBB AUB Danse Mulb,Daywear,general,5.0,767.0,0.0,0.0,253.08,30.4,65.64,483.52,736.6,N/A,,,260bc9fc-5368-408f-8bbb-f275d8551fea
LBB AUB Sheer Emo BLK,Set,Bra and Panty,5.0,677.0,0.0,0.0,224.04,0.0,66.91,452.96,677.0,N/A,,,96e8fa26-08a9-4979-b55d-0887143d906a
LBB CH Norah Violet,Bra,Bra,5.0,595.0,0.0,0.0,196.8,0.0,66.92,398.2,595.0,N/A,,,812d7905-dd82-465d-b5b0-560b9ef6e3ed
LBB CH Norah Spacer,Bra,Moulded ,5.0,575.0,0.0,0.0,192.4,0.0,66.54,382.6,575.0,N/A,,,aada1b6c-287b-43f7-ab20-cfb4e9c9039f
LBB CH Norah,Bra,general,5.0,595.0,0.0,0.0,157.44,0.0,73.54,437.56,595.0,N/A,,,f990c395-414d-4841-b783-0ec672b23cd9
LBB CH Norah Flex,Bra,Full Coverage,4.0,488.0,0.0,0.0,161.28,0.0,66.95,326.72,488.0,N/A,,,0f80c5ab-a5d2-49bb-950d-b8203954cfd5
Euc Lingerie Wash Unscented 3.3oz,Lingerie Wash,Lingerie Wash,4.0,28.0,0.0,0.0,12.0,0.0,57.14,16.0,28.0,N/A,,,4052c08d-f1c7-474a-8815-0366924106e0
LBB EL Cate Allure,Bra,Underwire,4.0,314.0,0.0,0.0,123.38,0.0,60.71,190.62,314.0,N/A,,,9d4ba93a-567c-48b3-80cd-f6d029d88371
LBB EL Smoothie Em,Bra,Full Coverage,4.0,304.0,0.0,0.0,117.0,0.0,61.51,187.0,304.0,N/A,,,53fbe0cd-b435-4172-b5b3-e09d8a8fe45b
LBB EL Nerina ,Set,Bra and Panty,4.0,328.0,0.0,0.0,129.6,0.0,60.49,198.4,328.0,N/A,,,51d1cce1-2c20-4ba1-b889-2ddeccff0418
LBB EL Matilda ,Set,Bra and Panty,4.0,328.0,0.0,0.0,129.6,0.0,60.49,198.4,328.0,N/A,,,8560467a-e523-4d0b-b843-383c72eaab93
Misc Taxable,general,general,4.0,770.0,0.0,0.0,0.0,0.0,100.0,770.0,770.0,0.0,not tracked,,43FC361F-9230-42CB-950A-B5C14E8EDBE6
Euc Lingerie Wash Grapefruit 16.9oz,Lingerie Wash,Lingerie Wash,4.0,84.0,0.0,0.0,32.0,0.0,61.9,52.0,84.0,N/A,,,ae4745c7-96ab-4741-ab2c-21ae543a4f69
LBB AUB Sense Illusion,SET,Bra and Panty Set,4.0,648.0,0.0,0.0,214.78,0.0,66.85,433.22,648.0,N/A,,,dc2aaca5-8658-4096-8602-ab7d4e591cc0
LBB SP Strapless,Bra,Strapless,4.0,408.0,0.0,0.0,155.0,0.0,62.01,253.0,408.0,N/A,,,9135cf0f-d8c1-4228-ba9f-ee7cad782c0a
Euc Lingerie Wash Jasmine 3.3oz,Lingerie Wash,Lingerie Wash,4.0,28.0,0.0,0.0,12.0,0.0,57.14,16.0,28.0,N/A,,,9d9d41fa-ab2f-4906-8e1c-cfa0ec914c9d
LBB EL Zarla Saph,Bra,set,4.0,294.0,0.0,0.0,112.05,0.0,61.89,181.95,294.0,N/A,,,3413473c-f806-476b-8afe-db83d8734f05
Shipping,general,general,3.0,29.97,0.0,0.0,0.0,0.0,100.0,29.97,29.97,0.0,not tracked,,37BC9CA8-C5FD-4A70-911F-6460BCDCE911
LBB DVT Floradora,Set,3 PC,3.0,273.0,0.0,0.0,90.0,27.3,63.37,155.7,245.7,N/A,,,575aeaae-ae32-4914-b442-e0bad4bdf66e
LBB CK Wonderfully ,Bra,FullCup,3.0,201.0,0.0,0.0,80.0,0.0,60.2,121.0,201.0,N/A,,,9c8c4526-a415-4c79-af28-b4271b70208b
Euc Lingerie Wash Lavender 3.3oz,Lingerie Wash,Lingerie Wash,3.0,21.0,0.0,0.0,9.0,0.0,57.14,12.0,21.0,N/A,,,5a76d71b-6695-4fe2-8744-bbfaffc0f818
LBB CK SC Eos,Bra and Panty Set,SET,3.0,219.0,0.0,0.0,79.05,0.0,63.9,139.95,219.0,N/A,,,d3a4d086-a935-4daa-b764-91ff3a15c00f
LBB FE EVA,Lingerie,Set,3.0,726.0,0.0,0.0,241.0,0.0,66.8,485.0,726.0,N/A,,,13a146e7-5072-49fa-ae4d-49c121dc87a4
LBB CK Smoothie Spacer,Bra,moulded,3.0,261.0,0.0,0.0,100.95,0.0,61.32,160.05,261.0,N/A,,,ef13237f-0409-4a0b-be1c-0ca2ec8acd83
LBB SP Andora Plunge ,Bra,Plunge,3.0,393.0,0.0,0.0,156.0,0.0,60.31,237.0,393.0,N/A,,,9dc7313b-95d3-4239-aed6-7d1c3999d22b
LBB SP CARESSE Plunge,Bra,Plunge,3.0,393.0,0.0,0.0,156.0,0.0,60.31,237.0,393.0,N/A,,,fd7acf01-fb8e-4719-8998-9274af452707
LBB AUB Rosesse Fash,Bra and Panty Set,SET,3.0,505.0,0.0,0.0,166.81,0.0,66.97,338.19,505.0,N/A,,,9fc2f935-a741-4918-8307-387e940ba719
Euc Lingerie Wash Jasmine 16.9oz,Lingerie Wash,Lingerie Wash,3.0,63.0,0.0,0.0,24.0,0.0,61.9,39.0,63.0,N/A,,,5bce7b12-979d-4ed1-ac80-4d865c89efe2
Euc Lingerie Wash Eucalyptus 3.3oz,Lingerie Wash,Lingerie Wash,3.0,21.0,0.0,0.0,9.0,0.0,57.14,12.0,21.0,N/A,,,edb96197-c08e-43b6-b5ff-9c417607bcb7
CK Victory Bra Nude 40K,Bra,Balcony,3.0,210.0,0.0,0.0,80.7,0.0,61.57,129.3,210.0,-3.0,Curvy Kate,CK9001,7C880232-E58A-4B37-AB74-432D56354AA1
Euc Lingerie Wash Grapefruit 3.3oz,Lingerie Wash,Lingerie Wash,3.0,21.0,0.0,0.0,9.0,0.0,57.14,12.0,21.0,N/A,,,d1ac3656-04b1-4ca5-b496-15a896730f76
LBB SP Precieuse,Bra and Panty Set,SET,2.0,328.0,0.0,0.0,108.5,0.0,66.92,219.5,328.0,N/A,,,07ac2da4-4c27-4f29-8d70-a51e6fb649a6
LBB AJ Joli,Bra and Panty Set,general,2.0,208.0,0.0,0.0,52.0,0.0,75.0,156.0,208.0,N/A,,,5aa7b469-cba0-48ef-93a5-190f79ea3a38
LBB CK Lifestyle Zebra,Set,Bra and Panty,2.0,105.0,0.0,0.0,38.07,21.0,54.68,45.93,84.0,N/A,,,d4b4ef15-9ad2-40bd-8b57-f4fe7ca55d96
LBB CH Maris,Bra,Full Cup,2.0,240.0,0.0,0.0,94.08,0.0,60.8,145.92,240.0,N/A,,,ccea5ccb-5945-483d-a4b4-34a520fb36de
LBB OH Eyelash robe ,Robe,Robe,2.0,160.0,0.0,0.0,25.5,0.0,84.06,134.5,160.0,N/A,,,d948a523-2eff-4f5b-b61f-41a8b390a17c
LBB BDL Nara Teal,Set,Set,2.0,637.0,0.0,0.0,212.52,0.0,66.64,424.48,637.0,N/A,,,9bed9478-5c09-4aa2-8495-aa2f6276d879
LBB CK Heygirl strapless,Bra,general,2.0,166.0,0.0,0.0,65.5,0.0,60.54,100.5,166.0,N/A,,,55f6b463-4b66-456d-aa82-b13f5b727242
LBB MC Deniers Back Seam,Hosiery,Thigh High,2.0,120.0,0.0,0.0,43.35,0.0,63.88,76.65,120.0,N/A,,,8e0d86f0-db45-4c03-b7e1-0e32b7bb7682
LBB EL Matilda Red,Set,Bra and Panty,2.0,166.0,0.0,0.0,64.8,0.0,60.96,101.2,166.0,N/A,,,ee8b16c9-f15d-4273-be31-3884b571ccae
LBB  CK Lifestyle Hearts,Bra and Panty Set,general,2.0,107.0,0.0,0.0,42.75,0.0,60.05,64.25,107.0,N/A,,,15b5da30-76a5-4e59-97d3-e4144a8b0c99
LBB BR Jenever,Bralette,Bralette,2.0,140.0,0.0,0.0,42.0,0.0,70.0,98.0,140.0,N/A,,,911e30aa-6706-49a7-a319-b88a5fa6d9ca
LBB AUB Vibe Fash,Set,3 PC,2.0,412.0,0.0,0.0,136.44,0.0,66.88,275.56,412.0,N/A,,,bd06f1f2-93ad-4321-b219-2e46b3b1a985
LBB SAM Plunge Bodysuit,Bodysuit,Bodysuit,2.0,362.0,0.0,0.0,120.0,0.0,66.85,242.0,362.0,N/A,,,4cfeaaed-bba2-4e8a-a3c7-f7df6dfc1fed
LBB FE Cecilia,Bra and Panty Set,SET,2.0,422.0,0.0,0.0,140.0,0.0,66.82,282.0,422.0,N/A,,,3f9ee86d-13ac-48cb-bd60-cb241c471760
LBB CK Superheroine ,Bra,Fashion,2.0,192.0,0.0,0.0,76.4,0.0,60.21,115.6,192.0,N/A,,,175deef1-eb87-4464-92d7-30f8732735dc
LBB AUB Bahia ,Bra,Set,2.0,219.0,0.0,0.0,72.18,15.8,64.48,131.02,203.2,N/A,,,5b64ac48-4583-43ec-9669-430d0962ee4e
LBB AUB Dans Balc Blk,Bra,Balconette,2.0,464.0,0.0,0.0,122.36,0.0,73.63,341.64,464.0,N/A,,,e098f44d-39d2-4453-80e5-9ae44c848859
LBB AJ Capranica,Set,set,2.0,230.0,0.0,0.0,57.0,0.0,75.22,173.0,230.0,N/A,,,084e6b5a-577b-4d83-8bbb-faeea2f29207
LBB CH Norah Strapless,Bra,Strapless,2.0,244.0,0.0,0.0,80.64,0.0,66.95,163.36,244.0,N/A,,,c60af10c-e16a-4488-95e1-ab0d73ebc80b
LBB BDL Amela,Set,Set,2.0,978.0,0.0,0.0,326.16,0.0,66.65,651.84,978.0,N/A,,,627187ef-fbb8-4479-9f99-cf16060cacdc
LBB AUB Into the Groove,Lingerie,Set,2.0,351.0,0.0,0.0,116.2,0.0,66.89,234.8,351.0,N/A,,,964bb072-c8dc-4596-9662-d98a3003e198
LBB CH Comfort Chic,Bra,Balcony,2.0,230.0,0.0,0.0,80.64,0.0,64.94,149.36,230.0,N/A,,,34dc8317-53ae-4c05-96f5-f317550341f5
LBB DVT Rose Glambition,Lingerie,Set,2.0,203.0,0.0,0.0,66.91,0.0,67.04,136.09,203.0,N/A,,,fe6b35ba-8646-453e-a4e7-a999b52d1e7d
LBB CK SC Icon ,Bodysuit,Bodysuit,2.0,296.0,0.0,0.0,108.2,0.0,63.45,187.8,296.0,N/A,,,90633b63-7af3-4134-9155-35c27731e53e
LBB DVT Harlow,Set,3 PC,2.0,199.0,0.0,0.0,65.25,0.0,67.21,133.75,199.0,N/A,,,5f4fde6b-b840-413c-8aa2-d0cae1aeca83
LBB Va Bien Bustier Nude,Bustier,Bustier,2.0,210.0,0.0,0.0,83.66,0.0,60.16,126.34,210.0,N/A,,,b5586723-720b-4613-be89-b88d278b74e4
LBB LEO Shaper,Body Shapers,general,2.0,112.0,0.0,0.0,35.0,0.0,68.75,77.0,112.0,N/A,,,50e23a55-67f7-4c72-93af-17c92914c79d
Euc Lingerie Wash Unscented 16.9oz,Lingerie Wash,Lingerie Wash,2.0,42.0,0.0,0.0,16.0,0.0,61.9,26.0,42.0,N/A,,,30df6a82-581e-4dc3-9bba-93b97908d484
LBB AUB Vibes Love,Set,Bra and Panty,2.0,351.0,0.0,0.0,116.2,0.0,66.89,234.8,351.0,N/A,,,6dfb5c96-d694-4a8e-87fc-09da6bfc6454
LBB EL Energise Sports Bra,Sports Bra,general,2.0,150.0,0.0,0.0,60.3,0.0,59.8,89.7,150.0,N/A,,,d70c41ad-66ee-498c-83f8-f9e9f99d2af8
LBB AUB Sumptuous Wave,Lingerie,Set,2.0,430.0,0.0,0.0,142.61,0.0,66.83,287.39,430.0,N/A,,,e01f3848-5b9b-447a-be38-c7c657a8d5e5
LBB AUB Sheer Emo ,Set,Bra and Panty,2.0,253.0,0.0,0.0,83.63,0.0,66.94,169.37,253.0,N/A,,,42d37328-fd63-4885-a1f6-38994c20d1f4
Euc Lingerie Wash Eucalyptus 16.9oz,Lingerie Wash,Lingerie Wash,2.0,42.0,0.0,0.0,16.0,0.0,61.9,26.0,42.0,N/A,,,8f63e597-ff9d-4489-a4a0-fdb0277ea384
Bra Fitting Service,general,general,2.0,50.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,not tracked,,1985CCA8-1F41-42E9-8DB9-87966A4FDF8E
LBB TR Tallulah Bra 32D,Bra,Half Padded,1.0,90.0,0.0,0.0,34.25,27.0,45.63,28.75,63.0,0.0,Tutti Rouge,B2242,48A1ECB0-F1E2-45B2-9A66-956A3D64553E
LBB AUB Lovessence,Bra and Panty Set,general,1.0,92.0,0.0,0.0,28.61,18.4,61.13,44.99,73.6,N/A,,,346e24d6-4eb8-43c1-8c02-c4b98b383005
LBB ML Hypnotic Black,Bra and Panty Set,general,1.0,63.0,0.0,0.0,25.2,0.0,60.0,37.8,63.0,N/A,,,dae89f10-5e86-49aa-8bbb-7806f87aa193
