Item Description,Department,Category,Quantity Sold,Sales Amount,Quantity Returned,Returns Amount,Costs,Discounts,Margin,Gross Profit,Net Sales,Quantity on Hand,Supplier,Supplier Code,Product UUID
LBB SP Comete,Bra,Bra,45.0,6120.0,0.0,0.0,2452.5,13.6,59.84,3653.9,6106.4,N/A,,,35a335fc-3940-40eb-9700-70ebaaf5172e
LBB CH Norah Chic,Bra,general,22.0,2684.0,0.0,0.0,762.97,0.0,71.57,1921.03,2684.0,N/A,,,ac1ebd3b-6224-48c7-acac-bf5e14b497ec
LBB EL Matilda Plum,Bra and Panty Set,SET,10.0,777.0,0.0,0.0,306.45,0.0,60.56,470.55,777.0,N/A,,,88c543d3-784d-4c5c-9a04-2f12d7490fd3
LBB CK Victory Bra,Bra,Balcony,10.0,770.0,0.0,0.0,303.15,0.0,60.63,466.85,770.0,N/A,,,dc9c3538-5f79-4e7b-874b-58e46d1df81e
Euc Lingerie Wash Jasmine 3.3oz,Lingerie Wash,Lingerie Wash,9.0,63.0,0.0,0.0,27.0,0.0,57.14,36.0,63.0,N/A,,,9d9d41fa-ab2f-4906-8e1c-cfa0ec914c9d
Euc Lingerie Wash Unscented 3.3oz,Lingerie Wash,Lingerie Wash,8.0,56.0,0.0,0.0,24.0,0.0,57.14,32.0,56.0,N/A,,,4052c08d-f1c7-474a-8815-0366924106e0
LBB CK Stardust,Bra and Panty Set,SET,8.0,648.0,0.0,0.0,256.0,0.0,60.49,392.0,648.0,N/A,,,64323d38-76d9-4392-a866-b6d5e8c32caa
LBB AUB Rosesse Fash,Bra and Panty Set,SET,8.0,1309.0,0.0,0.0,432.21,0.0,66.98,876.79,1309.0,N/A,,,9fc2f935-a741-4918-8307-387e940ba719
LBB SP Subtile ,Bra,Moulded,8.0,728.0,0.0,0.0,288.0,0.0,60.44,440.0,728.0,N/A,,,34b2aea8-f209-4e4d-9bdd-e32d6950a65a
Euc Lingerie Wash Grapefruit 3.3oz,Lingerie Wash,Lingerie Wash,8.0,56.0,0.0,0.0,24.0,0.0,57.14,32.0,56.0,N/A,,,d1ac3656-04b1-4ca5-b496-15a896730f76
LBB CH Norah Flex,Bra,Full Coverage,7.0,854.0,0.0,0.0,262.65,0.0,69.24,591.35,854.0,N/A,,,0f80c5ab-a5d2-49bb-950d-b8203954cfd5
LBB SP Andora Bra,Bra,moulded,7.0,882.0,0.0,0.0,350.0,0.0,60.32,532.0,882.0,N/A,,,f491dbe3-525e-4b57-a580-a95e872779b9
LBB EL Nerina Fash,Bra and Panty Set,SET,7.0,527.0,0.0,0.0,207.9,0.0,60.55,319.1,527.0,N/A,,,f6ede82d-e423-4346-9f7a-5ffaabcd4c55
LBB SP Strapless,Bra,Strapless,7.0,714.0,0.0,0.0,276.5,0.0,61.27,437.5,714.0,N/A,,,9135cf0f-d8c1-4228-ba9f-ee7cad782c0a
LBB EL Smoothie,Bra,Moulded ,7.0,532.0,0.0,0.0,204.75,0.0,61.51,327.25,532.0,N/A,,,4eeb6ff7-1594-4b49-b21f-a45b333b1a8a
LBB EL Smoothie Em,Bra,Full Coverage,6.0,456.0,0.0,0.0,175.5,0.0,61.51,280.5,456.0,N/A,,,53fbe0cd-b435-4172-b5b3-e09d8a8fe45b
LBB EL Kintai Fash,Set,Bra and Panty,6.0,468.0,0.0,0.0,183.6,0.0,60.77,284.4,468.0,N/A,,,56c5db73-c479-4eaa-a186-4361f4147cf1
LBB CH Norah Violet,Bra,Bra,6.0,714.0,0.0,0.0,236.16,0.0,66.92,477.84,714.0,N/A,,,812d7905-dd82-465d-b5b0-560b9ef6e3ed
LBB CH Norah,Bra,general,6.0,714.0,0.0,0.0,196.8,0.0,72.44,517.2,714.0,N/A,,,f990c395-414d-4841-b783-0ec672b23cd9
Euc Lingerie Wash Eucalyptus 3.3oz,Lingerie Wash,Lingerie Wash,6.0,42.0,0.0,0.0,18.0,0.0,57.14,24.0,42.0,N/A,,,edb96197-c08e-43b6-b5ff-9c417607bcb7
LBB AUB Danse Mulb,Daywear,general,5.0,788.0,0.0,0.0,260.12,30.4,65.67,497.48,757.6,N/A,,,260bc9fc-5368-408f-8bbb-f275d8551fea
LBB EL Nerina PL,general,general,5.0,410.0,0.0,0.0,162.0,0.0,60.49,248.0,410.0,N/A,,,00a466c8-90a7-46f5-99f6-1272158fefdb
LBB AUB Sheer Emo BLK,Set,Bra and Panty,5.0,677.0,0.0,0.0,224.04,0.0,66.91,452.96,677.0,N/A,,,96e8fa26-08a9-4979-b55d-0887143d906a
LBB EL Cate Allure,Bra,Underwire,5.0,392.0,0.0,0.0,153.98,0.0,60.72,238.02,392.0,N/A,,,9d4ba93a-567c-48b3-80cd-f6d029d88371
LBB FR Sonic Sports Bra,Sports Bra,general,5.0,418.0,0.0,0.0,166.5,0.0,60.17,251.5,418.0,N/A,,,d0fc7fa4-eea0-4724-81e1-e8321c6dcd66
Euc Lingerie Wash Lavender 3.3oz,Lingerie Wash,Lingerie Wash,5.0,35.0,0.0,0.0,15.0,0.0,57.14,20.0,35.0,N/A,,,5a76d71b-6695-4fe2-8744-bbfaffc0f818
LBB CH Magnifique WF,Bra,Wireless,5.0,500.0,0.0,0.0,149.75,0.0,70.05,350.25,500.0,N/A,,,2a431d57-0e55-4d1e-970c-ba5613683cb2
LBB EL Nerina ,Set,Bra and Panty,5.0,410.0,0.0,0.0,162.0,0.0,60.49,248.0,410.0,N/A,,,51d1cce1-2c20-4ba1-b889-2ddeccff0418
LBB SP CARESSE Plunge,Bra,Plunge,5.0,655.0,0.0,0.0,260.0,0.0,60.31,395.0,655.0,N/A,,,fd7acf01-fb8e-4719-8998-9274af452707
